2018-09-23 22:25:10,660 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.OnlineTxnProcessorImpl:processTransaction(32) | Entering processTransaction() for TransactionDO [transactionSeq=12131214, transactionId=8, instrumentName=MSFT, transactionType=S, transactionQuantity=300] 
2018-09-23 22:25:10,727 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.OnlineTxnProcessorImpl:processTransaction(39) | Leaving processTransaction() 
2018-09-23 22:25:10,727 | DEBUG | [GLSThread-323092018] | com.abcib.gls.validator.TransactionValidator:validateOnlineTransactions(24) | Online Transaction Validation completed successfully. 
2018-09-23 22:25:10,727 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.OnlineTxnProcessorImpl:processTransaction(32) | Entering processTransaction() for TransactionDO [transactionSeq=12131214, transactionId=9, instrumentName=AMZN, transactionType=B, transactionQuantity=200] 
2018-09-23 22:25:10,794 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.OnlineTxnProcessorImpl:processTransaction(39) | Leaving processTransaction() 
2018-09-23 22:25:10,795 | DEBUG | [GLSThread-323092018] | com.abcib.gls.validator.TransactionValidator:validateOnlineTransactions(24) | Online Transaction Validation completed successfully. 
2018-09-23 22:25:10,795 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.OnlineTxnProcessorImpl:processTransaction(32) | Entering processTransaction() for TransactionDO [transactionSeq=12131214, transactionId=10, instrumentName=APPL, transactionType=B, transactionQuantity=9000] 
2018-09-23 22:25:10,865 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.OnlineTxnProcessorImpl:processTransaction(39) | Leaving processTransaction() 
2018-09-23 22:25:10,865 | DEBUG | [GLSThread-323092018] | com.abcib.gls.validator.TransactionValidator:validateOnlineTransactions(24) | Online Transaction Validation completed successfully. 
2018-09-23 22:25:10,865 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.OnlineTxnProcessorImpl:processTransaction(32) | Entering processTransaction() for TransactionDO [transactionSeq=12131214, transactionId=11, instrumentName=AMZN, transactionType=S, transactionQuantity=5000] 
2018-09-23 22:25:10,939 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.OnlineTxnProcessorImpl:processTransaction(39) | Leaving processTransaction() 
2018-09-23 22:25:10,940 | DEBUG | [GLSThread-323092018] | com.abcib.gls.validator.TransactionValidator:validateOnlineTransactions(24) | Online Transaction Validation completed successfully. 
2018-09-23 22:25:10,940 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.OnlineTxnProcessorImpl:processTransaction(32) | Entering processTransaction() for TransactionDO [transactionSeq=12131214, transactionId=12, instrumentName=AMZN, transactionType=S, transactionQuantity=50] 
2018-09-23 22:25:11,011 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.OnlineTxnProcessorImpl:processTransaction(39) | Leaving processTransaction() 
2018-09-23 22:25:11,013 | DEBUG | [GLSThread-323092018] | com.abcib.gls.intf.feed.handler.ResponseFeedHandler:handleEODTransactions(39) | Entering handleEODTransactions() 
2018-09-23 22:25:11,046 | FATAL | [GLSThread-323092018] | com.abcib.gls.intf.feed.handler.ResponseFeedHandler:moveEODfilesToArchivePath(149) | EOD feed files moved from response to archive directory successfully. 
2018-09-23 22:25:11,047 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(41) | Entering processTransaction() for EndOfDayPositionDO [transactionSeq=4, instrumentName=IBM, accountId=null, accountType=null, eodQuantity=null, deltaQuantity=null] 
2018-09-23 22:25:11,134 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(56) | OpeningPositionDO List for EOD : [OpeningPositionDO [transactionSeq=2, instrumentName=IBM, accountId=101, accountType=E, openingQuantity=100000], OpeningPositionDO [transactionSeq=2, instrumentName=IBM, accountId=201, accountType=I, openingQuantity=-100000]] 
2018-09-23 22:25:11,135 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(73) | EOD Position DO Map for EOD : {201I=EndOfDayPositionDO [transactionSeq=4, instrumentName=IBM, accountId=201, accountType=I, eodQuantity=-100000, deltaQuantity=null], 101E=EndOfDayPositionDO [transactionSeq=4, instrumentName=IBM, accountId=101, accountType=E, eodQuantity=100000, deltaQuantity=null]} 
2018-09-23 22:25:11,135 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(79) | EOD key set to be processed : [201I, 101E] 
